Type 1,,,,,,,,,
frequency,Real(Z),Im(Z),,,,,,,
1.00E+06,6.59E+04,-5560,,,,,,,
9.36E+05,6.42E+04,-7620,,,,,,,
8.77E+05,7.14E+04,-8980,,,,,,,
8.21E+05,6.73E+04,-12900,,,,,,,
7.68E+05,6.65E+04,-12600,,,,,,,
7.19E+05,6.75E+04,-12500,,,,,,,
6.74E+05,6.81E+04,-19100,,,,,,,
6.31E+05,7.16E+04,-14600,,,,,,,
5.90E+05,7.43E+04,-21500,,,,,,,
5.53E+05,6.95E+04,-19300,,,,,,,
5.17E+05,6.96E+04,-19500,,,,,,,
4.85E+05,7.32E+04,-21800,,,,,,,
4.54E+05,7.59E+04,-22400,,,,,,,
4.25E+05,7.57E+04,-23200,,,,,,,
3.98E+05,7.44E+04,-25400,,,,,,,
3.72E+05,7.91E+04,-26300,,,,,,,
3.49E+05,7.71E+04,-26400,,,,,,,
3.26E+05,7.75E+04,-24200,,,,,,,
3.06E+05,7.82E+04,-25600,,,,,,,
2.86E+05,8.08E+04,-28000,,,,,,,
2.68E+05,7.97E+04,-27500,,,,,,,
2.51E+05,8.30E+04,-27300,,,,,,,
2.35E+05,8.27E+04,-27700,,,,,,,
2.20E+05,8.35E+04,-28500,,,,,,,
2.06E+05,8.44E+04,-29900,,,,,,,
1.93E+05,8.53E+04,-30400,,,,,,,
1.80E+05,8.64E+04,-31300,,,,,,,
1.69E+05,8.75E+04,-32100,,,,,,,
1.58E+05,9.01E+04,-33600,,,,,,,
1.48E+05,9.05E+04,-33800,,,,,,,
1.39E+05,9.18E+04,-35000,,,,,,,
1.30E+05,9.23E+04,-35900,,,,,,,
1.21E+05,9.42E+04,-36500,,,,,,,
1.14E+05,9.64E+04,-38100,,,,,,,
1.06E+05,9.74E+04,-37900,,,,,,,
9.97E+04,9.89E+04,-39400,,,,,,,
9.33E+04,9.94E+04,-40700,,,,,,,
8.74E+04,1.02E+05,-41300,,,,,,,
8.18E+04,1.04E+05,-43100,,,,,,,
7.66E+04,1.05E+05,-44400,,,,,,,
7.17E+04,1.09E+05,-45800,,,,,,,
6.71E+04,1.09E+05,-46100,,,,,,,
6.29E+04,1.12E+05,-47100,,,,,,,
5.89E+04,1.14E+05,-48400,,,,,,,
5.51E+04,1.17E+05,-49000,,,,,,,
5.16E+04,1.19E+05,-50900,,,,,,,
4.83E+04,1.21E+05,-52400,,,,,,,
4.52E+04,1.24E+05,-53100,,,,,,,
4.23E+04,1.27E+05,-54500,,,,,,,
3.96E+04,1.29E+05,-55400,,,,,,,
3.71E+04,1.31E+05,-55900,,,,,,,
3.47E+04,1.34E+05,-57700,,,,,,,
3.25E+04,1.37E+05,-58500,,,,,,,
3.05E+04,1.40E+05,-59400,,,,,,,
2.85E+04,1.43E+05,-60400,,,,,,,
2.67E+04,1.46E+05,-61400,,,,,,,
2.50E+04,1.48E+05,-62300,,,,,,,
